episode,return,epsilon
1,-86.18445869998148,0.8733333333333334
2,-17.846914762462106,0.7466666666666667
3,4.901408656443516,0.62
4,-4.788420118188437,0.4933333333333333
5,-51.151404465875544,0.3666666666666667
6,-50.67632565269662,0.23999999999999994
7,-37.32796700070104,0.11333333333333331
8,6.72001136216942,0.05
9,-38.578719634011385,0.05
10,-51.339236083070176,0.05
